result_type,model,split,samples,MSE,RMSE,MAE,MAPE_pct
official_checkpoint,CryptoMamba-v,train,1446,1390605.3823663348,1179.2393236177018,682.1931569375108,2.968842976382401
official_checkpoint,CryptoMamba-v,val,350,359023.32263636455,599.1855494221841,398.64734933035714,1.685933779485111
official_checkpoint,CryptoMamba-v,test,350,2553899.373051311,1598.0924169306702,1120.6595479910713,2.0343281902834143
retrained_checkpoint,CryptoMamba-v,train,1446,1383155.6172223294,1176.076365387184,674.9924871885265,2.878325960934009
retrained_checkpoint,CryptoMamba-v,val,350,352746.63692240854,593.9247737907626,390.56660435267855,1.6490267376124808
retrained_checkpoint,CryptoMamba-v,test,350,2599681.1399825397,1612.352672333984,1132.5405580357142,2.0485959511628105
