result_type,model,split,checkpoint,source_commit,protocol,samples,RMSE,MAE,MAPE_pct,paper_RMSE,paper_MAE,paper_MAPE_pct,RMSE_gap_pct,MAE_gap_pct,MAPE_gap_pct,tolerance_pct,status
official_checkpoint,CryptoMamba-v,test,checkpoints/cmamba_v_official.ckpt,fef42727861a9c3a32241283ab981ef21a49e291,global aggregation over paper test split; scripts/evaluation.py-equivalent formulas,350,1598.0924169306702,1120.6595479910713,2.0343281902834143,1598.1,1120.7,2.034,0.0004745053081604461,0.0036095305548939196,0.016135215507102486,5.0,PASS
retrained_checkpoint,CryptoMamba-v,test,checkpoints/cmamba_v_retrained_best.ckpt,fef42727861a9c3a32241283ab981ef21a49e291,global aggregation over paper test split; scripts/evaluation.py-equivalent formulas,350,1612.352672333984,1132.5405580357142,2.0485959511628105,1598.1,1120.7,2.034,0.8918510940481846,1.0565323490420397,0.7175983855855778,5.0,PASS
