result_type,checkpoint,split,regime,strategy,transaction_cost_pct,samples,RMSE,MAE,MAPE_pct,ROI_pct,max_drawdown_pct
official_checkpoint,checkpoints/cmamba_v_official.ckpt,test,bull,buy_hold,0.0,132,1663.9310383515008,1097.676728219697,2.0962315668613516,131.3028796303911,15.284887106870926
official_checkpoint,checkpoints/cmamba_v_official.ckpt,test,bear,buy_hold,0.0,31,1584.6394933479773,1293.813256048387,2.1800457301596476,-34.256652763770745,34.886244152160685
official_checkpoint,checkpoints/cmamba_v_official.ckpt,test,sideways,buy_hold,0.0,187,1552.2232640218697,1108.1780894886363,1.96647530555373,47.70207581443617,23.65757293396858
official_checkpoint,checkpoints/cmamba_v_official.ckpt,test,bull,buy_hold,0.1,132,1663.9310383515008,1097.676728219697,2.0962315668613516,131.42092038672754,15.2905293348795
official_checkpoint,checkpoints/cmamba_v_official.ckpt,test,bear,buy_hold,0.1,31,1584.6394933479773,1293.813256048387,2.1800457301596476,-34.26871623251759,34.89848758044683
official_checkpoint,checkpoints/cmamba_v_official.ckpt,test,sideways,buy_hold,0.1,187,1552.2232640218697,1108.1780894886363,1.96647530555373,47.73582748655259,23.666637127674008
official_checkpoint,checkpoints/cmamba_v_official.ckpt,test,bull,buy_hold,0.2,132,1663.9310383515008,1097.676728219697,2.0962315668613516,131.53917643841723,15.29617572994439
official_checkpoint,checkpoints/cmamba_v_official.ckpt,test,bear,buy_hold,0.2,31,1584.6394933479773,1293.813256048387,2.1800457301596476,-34.28078805473501,34.910739451713624
official_checkpoint,checkpoints/cmamba_v_official.ckpt,test,sideways,buy_hold,0.2,187,1552.2232640218697,1108.1780894886363,1.96647530555373,47.76963042163737,23.675708262485415
official_checkpoint,checkpoints/cmamba_v_official.ckpt,test,bull,vanilla,0.0,132,1663.9310383515008,1097.676728219697,2.0962315668613516,134.11439444389606,10.629456589038565
official_checkpoint,checkpoints/cmamba_v_official.ckpt,test,bear,vanilla,0.0,31,1584.6394933479773,1293.813256048387,2.1800457301596476,-18.52626237061822,19.306495896104625
official_checkpoint,checkpoints/cmamba_v_official.ckpt,test,sideways,vanilla,0.0,187,1552.2232640218697,1108.1780894886363,1.96647530555373,29.276692234475664,18.735551729835752
official_checkpoint,checkpoints/cmamba_v_official.ckpt,test,bull,vanilla,0.1,132,1663.9310383515008,1097.676728219697,2.0962315668613516,127.97313206685553,10.639961097768298
official_checkpoint,checkpoints/cmamba_v_official.ckpt,test,bear,vanilla,0.1,31,1584.6394933479773,1293.813256048387,2.1800457301596476,-19.111212436611325,19.886657299507227
official_checkpoint,checkpoints/cmamba_v_official.ckpt,test,sideways,vanilla,0.1,187,1552.2232640218697,1108.1780894886363,1.96647530555373,23.487046445755546,19.637581362484156
official_checkpoint,checkpoints/cmamba_v_official.ckpt,test,bull,vanilla,0.2,132,1663.9310383515008,1097.676728219697,2.0962315668613516,121.98121490057683,10.650682194009203
official_checkpoint,checkpoints/cmamba_v_official.ckpt,test,bear,vanilla,0.2,31,1584.6394933479773,1293.813256048387,2.1800457301596476,-19.693208371606197,20.463882858120552
official_checkpoint,checkpoints/cmamba_v_official.ckpt,test,sideways,vanilla,0.2,187,1552.2232640218697,1108.1780894886363,1.96647530555373,17.94608337550867,20.531502563017003
official_checkpoint,checkpoints/cmamba_v_official.ckpt,test,bull,smart,0.0,132,1663.9310383515008,1097.676728219697,2.0962315668613516,91.47939046460591,5.15786466647275
official_checkpoint,checkpoints/cmamba_v_official.ckpt,test,bear,smart,0.0,31,1584.6394933479773,1293.813256048387,2.1800457301596476,-18.72141532059115,19.254062472915244
official_checkpoint,checkpoints/cmamba_v_official.ckpt,test,sideways,smart,0.0,187,1552.2232640218697,1108.1780894886363,1.96647530555373,37.06758053574919,12.38927067574593
official_checkpoint,checkpoints/cmamba_v_official.ckpt,test,bull,smart,0.1,132,1663.9310383515008,1097.676728219697,2.0962315668613516,85.62332981414293,5.183045730264121
official_checkpoint,checkpoints/cmamba_v_official.ckpt,test,bear,smart,0.1,31,1584.6394933479773,1293.813256048387,2.1800457301596476,-19.32289158328715,19.833408246228178
official_checkpoint,checkpoints/cmamba_v_official.ckpt,test,sideways,smart,0.1,187,1552.2232640218697,1108.1780894886363,1.96647530555373,30.88822290207891,12.854860852446008
official_checkpoint,checkpoints/cmamba_v_official.ckpt,test,bull,smart,0.2,132,1663.9310383515008,1097.676728219697,2.0962315668613516,79.94175339191128,5.208170165075896
official_checkpoint,checkpoints/cmamba_v_official.ckpt,test,bear,smart,0.2,31,1584.6394933479773,1293.813256048387,2.1800457301596476,-19.920179312590093,20.408869836548902
official_checkpoint,checkpoints/cmamba_v_official.ckpt,test,sideways,smart,0.2,187,1552.2232640218697,1108.1780894886363,1.96647530555373,24.983131394110856,13.318296333174468
official_checkpoint,checkpoints/cmamba_v_official.ckpt,test,bull,smart_w_short,0.0,132,1663.9310383515008,1097.676728219697,2.0962315668613516,110.04215036734357,5.128114228216141
official_checkpoint,checkpoints/cmamba_v_official.ckpt,test,bear,smart_w_short,0.0,31,1584.6394933479773,1293.813256048387,2.1800457301596476,-15.419353224729615,15.877265386605377
official_checkpoint,checkpoints/cmamba_v_official.ckpt,test,sideways,smart_w_short,0.0,187,1552.2232640218697,1108.1780894886363,1.96647530555373,47.98734610407198,9.094934035701712
official_checkpoint,checkpoints/cmamba_v_official.ckpt,test,bull,smart_w_short,0.1,132,1663.9310383515008,1097.676728219697,2.0962315668613516,102.90777817525316,5.153466031717711
official_checkpoint,checkpoints/cmamba_v_official.ckpt,test,bear,smart_w_short,0.1,31,1584.6394933479773,1293.813256048387,2.1800457301596476,-15.93461137281773,16.36068010491619
official_checkpoint,checkpoints/cmamba_v_official.ckpt,test,sideways,smart_w_short,0.1,187,1552.2232640218697,1108.1780894886363,1.96647530555373,40.827186821165554,9.400476326010915
official_checkpoint,checkpoints/cmamba_v_official.ckpt,test,bull,smart_w_short,0.2,132,1663.9310383515008,1097.676728219697,2.0962315668613516,95.94231015492053,5.1787674453523485
official_checkpoint,checkpoints/cmamba_v_official.ckpt,test,bear,smart_w_short,0.2,31,1584.6394933479773,1293.813256048387,2.1800457301596476,-16.44673106343799,16.840203287853583
official_checkpoint,checkpoints/cmamba_v_official.ckpt,test,sideways,smart_w_short,0.2,187,1552.2232640218697,1108.1780894886363,1.96647530555373,33.930612734551914,9.69506082548986
official_checkpoint,checkpoints/cmamba_v_official.ckpt,val,bull,buy_hold,0.0,92,578.1265623729497,410.72393002717394,1.5751750199656367,95.05314279239639,8.931352268787705
official_checkpoint,checkpoints/cmamba_v_official.ckpt,val,bear,buy_hold,0.0,63,433.2475998440175,317.3004867311508,1.4997666446824063,-40.225525929706684,42.65419304806005
official_checkpoint,checkpoints/cmamba_v_official.ckpt,val,sideways,buy_hold,0.0,195,652.7403923932588,419.23097455929485,1.7983354993228655,17.14237202149249,16.253507091666116
official_checkpoint,checkpoints/cmamba_v_official.ckpt,val,bull,buy_hold,0.1,92,578.1265623729497,410.72393002717394,1.5751750199656367,95.15721069240072,8.938658147183627
official_checkpoint,checkpoints/cmamba_v_official.ckpt,val,bear,buy_hold,0.1,63,433.2475998440175,317.3004867311508,1.4997666446824063,-40.25348977413293,42.682820526857
official_checkpoint,checkpoints/cmamba_v_official.ckpt,val,sideways,buy_hold,0.1,195,652.7403923932588,419.23097455929485,1.7983354993228655,17.16610644787726,16.263528605706725
official_checkpoint,checkpoints/cmamba_v_official.ckpt,val,bull,buy_hold,0.2,92,578.1265623729497,410.72393002717394,1.5751750199656367,95.26150366054193,8.945975987834474
official_checkpoint,checkpoints/cmamba_v_official.ckpt,val,bear,buy_hold,0.2,63,433.2475998440175,317.3004867311508,1.4997666446824063,-40.28149369596552,42.71148743707207
official_checkpoint,checkpoints/cmamba_v_official.ckpt,val,sideways,buy_hold,0.2,195,652.7403923932588,419.23097455929485,1.7983354993228655,17.189902755327502,16.273562133213616
