result_type,checkpoint,split,strategy,transaction_cost_pct,date,cash,position_btc,portfolio_value,drawdown_pct,action,trade_value,transaction_cost
official_checkpoint,checkpoints/cmamba_v_official.ckpt,test,buy_hold,0.0,2023-10-01,0.0,0.0037081094978662077,100.0,0.0,BUY,100.0,0.0
official_checkpoint,checkpoints/cmamba_v_official.ckpt,test,buy_hold,0.0,2023-10-02,0.0,0.0037081094978662077,103.7668091609135,0.0,HOLD,0.0,0.0
official_checkpoint,checkpoints/cmamba_v_official.ckpt,test,buy_hold,0.0,2023-10-03,0.0,0.0037081094978662077,102.08718040640736,-1.6186570330995749,HOLD,0.0,0.0
official_checkpoint,checkpoints/cmamba_v_official.ckpt,test,buy_hold,0.0,2023-10-04,0.0,0.0037081094978662077,101.71337110245645,-1.978896792781529,HOLD,0.0,0.0
official_checkpoint,checkpoints/cmamba_v_official.ckpt,test,buy_hold,0.0,2023-10-05,0.0,0.0037081094978662077,103.0831844114553,-0.6588086836110356,HOLD,0.0,0.0
official_checkpoint,checkpoints/cmamba_v_official.ckpt,test,buy_hold,0.0,2023-10-06,0.0,0.0037081094978662077,101.66119684303725,-2.0291770893822423,HOLD,0.0,0.0
official_checkpoint,checkpoints/cmamba_v_official.ckpt,test,buy_hold,0.0,2023-10-07,0.0,0.0037081094978662077,103.62905144458749,-0.13275701299861994,HOLD,0.0,0.0
official_checkpoint,checkpoints/cmamba_v_official.ckpt,test,buy_hold,0.0,2023-10-08,0.0,0.0037081094978662077,103.7115206689082,-0.05328148032341061,HOLD,0.0,0.0
official_checkpoint,checkpoints/cmamba_v_official.ckpt,test,buy_hold,0.0,2023-10-09,0.0,0.0037081094978662077,103.58637197335521,-0.17388718899361658,HOLD,0.0,0.0
official_checkpoint,checkpoints/cmamba_v_official.ckpt,test,buy_hold,0.0,2023-10-10,0.0,0.0037081094978662077,102.28330463531793,-1.429652253540012,HOLD,0.0,0.0
official_checkpoint,checkpoints/cmamba_v_official.ckpt,test,buy_hold,0.0,2023-10-11,0.0,0.0037081094978662077,101.56889968006692,-2.118123799526522,HOLD,0.0,0.0
official_checkpoint,checkpoints/cmamba_v_official.ckpt,test,buy_hold,0.0,2023-10-12,0.0,0.0037081094978662077,99.64921428998214,-3.9681232411667495,HOLD,0.0,0.0
official_checkpoint,checkpoints/cmamba_v_official.ckpt,test,buy_hold,0.0,2023-10-13,0.0,0.0037081094978662077,99.21714710946709,-4.38450607495422,HOLD,0.0,0.0
official_checkpoint,checkpoints/cmamba_v_official.ckpt,test,buy_hold,0.0,2023-10-14,0.0,0.0037081094978662077,99.60864959994785,-4.007215404029137,HOLD,0.0,0.0
official_checkpoint,checkpoints/cmamba_v_official.ckpt,test,buy_hold,0.0,2023-10-15,0.0,0.0037081094978662077,99.60616545628035,-4.009609371510251,HOLD,0.0,0.0
official_checkpoint,checkpoints/cmamba_v_official.ckpt,test,buy_hold,0.0,2023-10-16,0.0,0.0037081094978662077,100.71095757220222,-2.944921997141206,HOLD,0.0,0.0
official_checkpoint,checkpoints/cmamba_v_official.ckpt,test,buy_hold,0.0,2023-10-17,0.0,0.0037081094978662077,105.75332018837487,0.0,HOLD,0.0,0.0
official_checkpoint,checkpoints/cmamba_v_official.ckpt,test,buy_hold,0.0,2023-10-18,0.0,0.0037081094978662077,105.36871246399168,-0.3636838292151,HOLD,0.0,0.0
official_checkpoint,checkpoints/cmamba_v_official.ckpt,test,buy_hold,0.0,2023-10-19,0.0,0.0037081094978662077,105.0445860333911,-0.6701767412326426,HOLD,0.0,0.0
