result_type,model,checkpoint,split,strategy,transaction_cost_pct,initial_balance,final_balance,ROI_pct,max_drawdown_pct,Sharpe,number_of_trades,win_rate_pct,risk_pct,protocol,status
official_checkpoint,CryptoMamba-v,checkpoints/cmamba_v_official.ckpt,val,buy_hold,0.1,100.0,136.83381174291966,36.833811742919664,25.84462487596814,0.9315739502769558,1,0.0,2.0,forecast-driven utils.trade strategies; explicit per-transaction cost on traded notional; chronological; decision at t uses current_close+predicted_close only; regime=trailing 30d +/-10%/10%; source_commit=fef42727861a9c3a32241283ab981ef21a49e291,OK
official_checkpoint,CryptoMamba-v,checkpoints/cmamba_v_official.ckpt,val,buy_hold,0.2,100.0,136.73381174291967,36.73381174291967,25.868265029203453,0.9317657797348651,1,0.0,2.0,forecast-driven utils.trade strategies; explicit per-transaction cost on traded notional; chronological; decision at t uses current_close+predicted_close only; regime=trailing 30d +/-10%/10%; source_commit=fef42727861a9c3a32241283ab981ef21a49e291,OK
official_checkpoint,CryptoMamba-v,checkpoints/cmamba_v_official.ckpt,val,vanilla,0.0,100.0,124.90359583768965,24.90359583768965,25.381703715525116,0.798249725492916,43,46.51162790697674,2.0,forecast-driven utils.trade strategies; explicit per-transaction cost on traded notional; chronological; decision at t uses current_close+predicted_close only; regime=trailing 30d +/-10%/10%; source_commit=fef42727861a9c3a32241283ab981ef21a49e291,OK
official_checkpoint,CryptoMamba-v,checkpoints/cmamba_v_official.ckpt,val,vanilla,0.1,100.0,119.65589801520451,19.655898015204514,25.38171376088717,0.6838681383274083,66,45.45454545454545,2.0,forecast-driven utils.trade strategies; explicit per-transaction cost on traded notional; chronological; decision at t uses current_close+predicted_close only; regime=trailing 30d +/-10%/10%; source_commit=fef42727861a9c3a32241283ab981ef21a49e291,OK
official_checkpoint,CryptoMamba-v,checkpoints/cmamba_v_official.ckpt,val,vanilla,0.2,100.0,114.61896440592295,14.618964405922952,25.381744297512228,0.5680081382526168,66,45.45454545454545,2.0,forecast-driven utils.trade strategies; explicit per-transaction cost on traded notional; chronological; decision at t uses current_close+predicted_close only; regime=trailing 30d +/-10%/10%; source_commit=fef42727861a9c3a32241283ab981ef21a49e291,OK
official_checkpoint,CryptoMamba-v,checkpoints/cmamba_v_official.ckpt,val,smart,0.0,100.0,127.11975764084897,27.119757640848974,23.400444366181596,0.9005773431708282,347,46.97406340057637,2.0,forecast-driven utils.trade strategies; explicit per-transaction cost on traded notional; chronological; decision at t uses current_close+predicted_close only; regime=trailing 30d +/-10%/10%; source_commit=fef42727861a9c3a32241283ab981ef21a49e291,OK
official_checkpoint,CryptoMamba-v,checkpoints/cmamba_v_official.ckpt,val,smart,0.1,100.0,119.51406606245172,19.514066062451718,23.436868420296715,0.7161459483921968,349,46.70487106017192,2.0,forecast-driven utils.trade strategies; explicit per-transaction cost on traded notional; chronological; decision at t uses current_close+predicted_close only; regime=trailing 30d +/-10%/10%; source_commit=fef42727861a9c3a32241283ab981ef21a49e291,OK
official_checkpoint,CryptoMamba-v,checkpoints/cmamba_v_official.ckpt,val,smart,0.2,100.0,112.36208438556781,12.362084385567812,23.473165489426144,0.5304572572886301,349,46.70487106017192,2.0,forecast-driven utils.trade strategies; explicit per-transaction cost on traded notional; chronological; decision at t uses current_close+predicted_close only; regime=trailing 30d +/-10%/10%; source_commit=fef42727861a9c3a32241283ab981ef21a49e291,OK
official_checkpoint,CryptoMamba-v,checkpoints/cmamba_v_official.ckpt,val,smart_w_short,0.0,100.0,127.46629276697853,27.46629276697853,23.400444366181596,0.9052370199153991,346,46.82080924855491,2.0,forecast-driven utils.trade strategies; explicit per-transaction cost on traded notional; chronological; decision at t uses current_close+predicted_close only; regime=trailing 30d +/-10%/10%; source_commit=fef42727861a9c3a32241283ab981ef21a49e291,OK
official_checkpoint,CryptoMamba-v,checkpoints/cmamba_v_official.ckpt,val,smart_w_short,0.1,100.0,119.27788654244995,19.27788654244995,23.436868420296715,0.7079891709834363,348,46.55172413793103,2.0,forecast-driven utils.trade strategies; explicit per-transaction cost on traded notional; chronological; decision at t uses current_close+predicted_close only; regime=trailing 30d +/-10%/10%; source_commit=fef42727861a9c3a32241283ab981ef21a49e291,OK
