model_id,split,strategy,transaction_cost_pct,signal_date,prediction_date,execution_price,valuation_price,predicted_close,forecast_return_pct,target_weight,cash_before,position_before_btc,cash,position_btc,short_collateral,gross_exposure_at_execution,gross_exposure_marked,portfolio_value,drawdown_pct,action,trade_value,transaction_cost,borrow_cost,self_financing_error
cmamba_v_reproduced,test,buy_hold,0,2023-11-15,2023-11-16,37880.578125,36154.7695312,37114.7929688,-2.0215772677,1,100,0,0,0.0026398752329,0,1,1,95.4440806366,-4.55591936336,BUY,100,0,0,1.42108547152e-14
cmamba_v_reproduced,test,buy_hold,0,2023-11-16,2023-11-17,36154.7695312,36596.6796875,36649.359375,1.36797952293,1,0,0.0026398752329,0,0.0026398752329,0,1,1,96.6106683133,-3.38933168671,HOLD,0,0,0,0
cmamba_v_reproduced,test,buy_hold,0,2023-11-17,2023-11-18,36596.6796875,36585.6992188,36185.0976562,-1.1246430954,1,0,0.0026398752329,0,0.0026398752329,0,1,1,96.5816812458,-3.41831875421,HOLD,0,0,0,0
cmamba_v_reproduced,test,buy_hold,0,2023-11-18,2023-11-19,36585.6992188,37386.5507812,36791.90625,0.563627416322,1,0,0.0026398752329,0,0.0026398752329,0,1,1,98.6958294509,-1.30417054914,HOLD,0,0,0,0
cmamba_v_reproduced,test,buy_hold,0,2023-11-19,2023-11-20,37386.5507812,37476.9609375,37052.4648438,-0.893599250315,1,0,0.0026398752329,0,0.0026398752329,0,1,1,98.9345009831,-1.06549901685,HOLD,0,0,0,0
cmamba_v_reproduced,test,buy_hold,0,2023-11-20,2023-11-21,37476.9609375,35813.8085938,37456.2695312,-0.0552110035937,1,0,0.0026398752329,0,0.0026398752329,0,1,1,94.5439863023,-5.45601369765,HOLD,0,0,0,0
cmamba_v_reproduced,test,buy_hold,0,2023-11-21,2023-11-22,35813.8085938,37432.3398438,36298.515625,1.35340822516,1,0,0.0026398752329,0,0.0026398752329,0,1,1,98.8167068629,-1.18329313711,HOLD,0,0,0,0
cmamba_v_reproduced,test,buy_hold,0,2023-11-22,2023-11-23,37432.3398438,37289.6210938,36601.9960938,-2.21825232798,1,0,0.0026398752329,0,0.0026398752329,0,1,1,98.4399471695,-1.5600528305,HOLD,0,0,0,0
cmamba_v_reproduced,test,buy_hold,0,2023-11-23,2023-11-24,37289.6210938,37720.28125,37767.5742188,1.28173231849,1,0,0.0026398752329,0,0.0026398752329,0,1,1,99.5768362498,-0.423163750223,HOLD,0,0,0,0
cmamba_v_reproduced,test,buy_hold,0,2023-11-24,2023-11-25,37720.28125,37796.7890625,37532.2929688,-0.498374548175,1,0,0.0026398752329,0,0.0026398752329,0,1,1,99.7788073291,-0.221192670881,HOLD,0,0,0,0
cmamba_v_reproduced,test,buy_hold,0,2023-11-25,2023-11-26,37796.7890625,37479.1210938,37678.8164062,-0.312123487672,1,0,0.0026398752329,0,0.0026398752329,0,1,1,98.9402035261,-1.05979647387,HOLD,0,0,0,0
cmamba_v_reproduced,test,buy_hold,0,2023-11-26,2023-11-27,37479.1210938,37254.171875,37561.1054688,0.218746791834,1,0,0.0026398752329,0,0.0026398752329,0,1,1,98.3463656549,-1.65363434511,HOLD,0,0,0,0
cmamba_v_reproduced,test,buy_hold,0,2023-11-27,2023-11-28,37254.171875,37831.0898438,37188.3320312,-0.176731465058,1,0,0.0026398752329,0,0.0026398752329,0,1,1,99.869357112,-0.130642887991,HOLD,0,0,0,0
cmamba_v_reproduced,test,buy_hold,0,2023-11-28,2023-11-29,37831.0898438,37858.4882812,37821.90625,-0.0242752555846,1,0,0.0026398752329,0,0.0026398752329,0,1,1,99.9416855686,-0.0583144314142,HOLD,0,0,0,0
cmamba_v_reproduced,test,buy_hold,0,2023-11-29,2023-11-30,37858.4882812,37712.75,37737.4804688,-0.319631918742,1,0,0.0026398752329,0,0.0026398752329,0,1,1,99.5569546894,-0.443045310571,HOLD,0,0,0,0
cmamba_v_reproduced,test,buy_hold,0,2023-11-30,2023-12-01,37712.75,38688.75,37730.3867188,0.0467659312832,1,0,0.0026398752329,0,0.0026398752329,0,1,1,102.133472917,0,HOLD,0,0,0,0
cmamba_v_reproduced,test,buy_hold,0,2023-12-01,2023-12-02,38688.75,39476.328125,38488.2421875,-0.518258699234,1,0,0.0026398752329,0,0.0026398752329,0,1,1,104.212580903,0,HOLD,0,0,0,0
cmamba_v_reproduced,test,buy_hold,0,2023-12-02,2023-12-03,39476.328125,39978.390625,39376.7578125,-0.252227897652,1,0,0.0026398752329,0,0.0026398752329,0,1,1,105.537963262,0,HOLD,0,0,0,0
cmamba_v_reproduced,test,buy_hold,0,2023-12-03,2023-12-04,39978.390625,41980.1015625,39866.8515625,-0.278998380766,1,0,0.0026398752329,0,0.0026398752329,0,1,1,110.822230389,0,HOLD,0,0,0,0
cmamba_v_reproduced,test,buy_hold,0,2023-12-04,2023-12-05,41980.1015625,44080.6484375,41552.9726562,-1.01745562862,1,0,0.0026398752329,0,0.0026398752329,0,1,1,116.36741206,0,HOLD,0,0,0,0
cmamba_v_reproduced,test,buy_hold,0,2023-12-05,2023-12-06,44080.6484375,43746.4492188,43491.953125,-1.33549603594,1,0,0.0026398752329,0,0.0026398752329,0,1,1,115.48516782,-0.758154043999,HOLD,0,0,0,0
cmamba_v_reproduced,test,buy_hold,0,2023-12-06,2023-12-07,43746.4492188,43292.6601562,44108.7539062,0.828192216672,1,0,0.0026398752329,0,0.0026398752329,0,1,1,114.287221313,-1.78760592047,HOLD,0,0,0,0
cmamba_v_reproduced,test,buy_hold,0,2023-12-07,2023-12-08,43292.6601562,44166.6015625,43414.546875,0.281541301251,1,0,0.0026398752329,0,0.0026398752329,0,1,1,116.594317586,0,HOLD,0,0,0,0
cmamba_v_reproduced,test,buy_hold,0,2023-12-08,2023-12-09,44166.6015625,43725.9804688,44110.4023438,-0.127243701715,1,0,0.0026398752329,0,0.0026398752329,0,1,1,115.431132874,-0.997634135664,HOLD,0,0,0,0
cmamba_v_reproduced,test,buy_hold,0,2023-12-09,2023-12-10,43725.9804688,43779.6992188,44057.1328125,0.757335433534,1,0,0.0026398752329,0,0.0026398752329,0,1,1,115.572943671,-0.876006597887,HOLD,0,0,0,0
cmamba_v_reproduced,test,buy_hold,0,2023-12-10,2023-12-11,43779.6992188,41243.828125,43702.9179688,-0.175380944525,1,0,0.0026398752329,0,0.0026398752329,0,1,1,108.878560377,-6.61760999058,HOLD,0,0,0,0
cmamba_v_reproduced,test,buy_hold,0,2023-12-11,2023-12-12,41243.828125,41450.21875,41571.3203125,0.794039259662,1,0,0.0026398752329,0,0.0026398752329,0,1,1,109.423405876,-6.15030977345,HOLD,0,0,0,0
cmamba_v_reproduced,test,buy_hold,0,2023-12-12,2023-12-13,41450.21875,42890.7382812,41291.4882812,-0.382942415111,1,0,0.0026398752329,0,0.0026398752329,0,1,1,113.226197709,-2.88875131007,HOLD,0,0,0,0
cmamba_v_reproduced,test,buy_hold,0,2023-12-13,2023-12-14,42890.7382812,43023.96875,42628.2539062,-0.6119838117,1,0,0.0026398752329,0,0.0026398752329,0,1,1,113.577909524,-2.5870969739,HOLD,0,0,0,0
cmamba_v_reproduced,test,buy_hold,0,2023-12-14,2023-12-15,43023.96875,41929.7617188,42671.6367188,-0.818920340188,1,0,0.0026398752329,0,0.0026398752329,0,1,1,110.689339483,-5.06455050789,HOLD,0,0,0,0
cmamba_v_reproduced,test,buy_hold,0,2023-12-15,2023-12-16,41929.7617188,42240.1210938,41998.0351562,0.162828107534,1,0,0.0026398752329,0,0.0026398752329,0,1,1,111.50864951,-4.36184900037,HOLD,0,0,0,0
cmamba_v_reproduced,test,buy_hold,0,2023-12-16,2023-12-17,42240.1210938,41364.6601562,42199.296875,-0.0966479680761,1,0,0.0026398752329,0,0.0026398752329,0,1,1,109.197541864,-6.34402762976,HOLD,0,0,0,0
cmamba_v_reproduced,test,buy_hold,0,2023-12-17,2023-12-18,41364.6601562,42623.5390625,41644.3867188,0.676245281463,1,0,0.0026398752329,0,0.0026398752329,0,1,1,112.52082511,-3.49373156505,HOLD,0,0,0,0
cmamba_v_reproduced,test,buy_hold,0,2023-12-18,2023-12-19,42623.5390625,42270.53125,41876.265625,-1.75319425354,1,0,0.0026398752329,0,0.0026398752329,0,1,1,111.588928528,-4.29299571491,HOLD,0,0,0,0
cmamba_v_reproduced,test,buy_hold,0,2023-12-19,2023-12-20,42270.53125,43652.25,42419.8789062,0.35331388519,1,0,0.0026398752329,0,0.0026398752329,0,1,1,115.236493635,-1.16457129212,HOLD,0,0,0,0
cmamba_v_reproduced,test,buy_hold,0,2023-12-20,2023-12-21,43652.25,43869.1484375,43039.2851562,-1.40419988374,1,0,0.0026398752329,0,0.0026398752329,0,1,1,115.809078448,-0.673479766332,HOLD,0,0,0,0
cmamba_v_reproduced,test,buy_hold,0,2023-12-21,2023-12-22,43869.1484375,43997.8984375,44051.96875,0.416740053116,1,0,0.0026398752329,0,0.0026398752329,0,1,1,116.148962385,-0.381969902668,HOLD,0,0,0,0
cmamba_v_reproduced,test,buy_hold,0,2023-12-22,2023-12-23,43997.8984375,43739.5390625,43936.296875,-0.140010238415,1,0,0.0026398752329,0,0.0026398752329,0,1,1,115.466925869,-0.966935387582,HOLD,0,0,0,0
cmamba_v_reproduced,test,buy_hold,0,2023-12-23,2023-12-24,43739.5390625,43016.1210938,43714.6679688,-0.0568618103507,1,0,0.0026398752329,0,0.0026398752329,0,1,1,113.557192691,-2.6048652784,HOLD,0,0,0,0
cmamba_v_reproduced,test,buy_hold,0,2023-12-24,2023-12-25,43016.1210938,43613.140625,43295.4023438,0.649247870098,1,0,0.0026398752329,0,0.0026398752329,0,1,1,115.133249765,-1.25312095094,HOLD,0,0,0,0
cmamba_v_reproduced,test,buy_hold,0,2023-12-25,2023-12-26,43613.140625,42520.3984375,43171.5273438,-1.01256931952,1,0,0.0026398752329,0,0.0026398752329,0,1,1,112.248546728,-3.72725785268,HOLD,0,0,0,0
cmamba_v_reproduced,test,buy_hold,0,2023-12-26,2023-12-27,42520.3984375,43442.859375,42545.5820312,0.0592270878812,1,0,0.0026398752329,0,0.0026398752329,0,1,1,114.68372851,-1.63866397209,HOLD,0,0,0,0
cmamba_v_reproduced,test,buy_hold,0,2023-12-27,2023-12-28,43442.859375,42627.859375,43042.2109375,-0.922242327655,1,0,0.0026398752329,0,0.0026398752329,0,1,1,112.532230195,-3.48394971101,HOLD,0,0,0,0
cmamba_v_reproduced,test,buy_hold,0,2023-12-28,2023-12-29,42627.859375,42099.3984375,42967.9296875,0.797765399169,1,0,0.0026398752329,0,0.0026398752329,0,1,1,111.137159255,-4.68046680493,HOLD,0,0,0,0
cmamba_v_reproduced,test,buy_hold,0,2023-12-29,2023-12-30,42099.3984375,42156.8984375,42017.1523438,-0.195361684021,1,0,0.0026398752329,0,0.0026398752329,0,1,1,111.288952081,-4.55027793378,HOLD,0,0,0,0
cmamba_v_reproduced,test,buy_hold,0,2023-12-30,2023-12-31,42156.8984375,42265.1914062,42098.5898438,-0.138313291326,1,0,0.0026398752329,0,0.0026398752329,0,1,1,111.574832007,-4.305085945,HOLD,0,0,0,0
cmamba_v_reproduced,test,buy_hold,0,2023-12-31,2024-01-01,42265.1914062,44167.328125,42306.9882812,0.0988919572095,1,0,0.0026398752329,0,0.0026398752329,0,1,1,116.59623562,0,HOLD,0,0,0,0
cmamba_v_reproduced,test,buy_hold,0,2024-01-01,2024-01-02,44167.328125,44957.96875,43362.6132812,-1.82196858608,1,0,0.0026398752329,0,0.0026398752329,0,1,1,118.683428224,0,HOLD,0,0,0,0
cmamba_v_reproduced,test,buy_hold,0,2024-01-02,2024-01-03,44957.96875,42848.1796875,45225.7695312,0.595669218819,1,0,0.0026398752329,0,0.0026398752329,0,1,1,113.113848332,-4.69280334757,HOLD,0,0,0,0
