model_id,split,strategy,transaction_cost_pct,borrow_cost_bps_per_day,initial_equity,final_equity,ROI_pct,max_drawdown_pct,Sharpe,turnover_notional,number_of_trades,total_fees,total_borrow_cost,reconciliation_error
naive_persistence,val,smart,0.1,0,100,100,0,-0,0,0,0,0,0,0
naive_persistence,val,smart,0.2,0,100,100,0,-0,0,0,0,0,0,0
naive_persistence,val,smart_w_short,0,0,100,100,0,-0,0,0,0,0,0,0
naive_persistence,val,smart_w_short,0.1,0,100,100,0,-0,0,0,0,0,0,0
naive_persistence,val,smart_w_short,0.2,0,100,100,0,-0,0,0,0,0,0,0
s5_full,test,buy_hold,0,0,100,158.406033022,58.4060330224,26.1820383534,1.2919928883,100,1,0,0,0
s5_full,test,buy_hold,0.1,0,100,158.247785237,58.2477852371,26.1820383534,1.28962861773,99.9000999001,1,0.0999000999001,0,0
s5_full,test,buy_hold,0.2,0,100,158.089853316,58.0898533157,26.1820383534,1.28726520934,99.8003992016,1,0.199600798403,0,0
s5_full,test,vanilla,0,0,100,100,0,-0,0,0,0,0,0,0
s5_full,test,vanilla,0.1,0,100,100,0,-0,0,0,0,0,0,0
s5_full,test,vanilla,0.2,0,100,100,0,-0,0,0,0,0,0,0
s5_full,test,smart,0,0,100,103.336741626,3.33674162618,1.90464256154,1.17076478902,124.506934705,133,0,0,0
s5_full,test,smart,0.1,0,100,103.210253218,3.2102532175,1.90805936622,1.12733043108,124.430478806,133,0.124430478806,0,0
s5_full,test,smart,0.2,0,100,103.083919059,3.08391905862,1.91147645239,1.08389902327,124.354086278,133,0.248708172556,0,0
s5_full,test,smart_w_short,0,0,100,99.3795581147,-0.620441885302,4.25987154383,-0.140882427154,510.888346916,304,0,0,0
s5_full,test,smart_w_short,0.1,0,100,98.8817038184,-1.11829618156,4.63094033346,-0.272286188584,509.608622686,304,0.509608622686,0,0
s5_full,test,smart_w_short,0.2,0,100,98.3863420013,-1.61365799873,5.0005732966,-0.403062309301,508.333168588,304,1.01666633718,0,0
